Datum,total number of Likes,Daily new Likes,Daily new Dislikes,Daily Users' Interactions
2016-07-22,9500,0,1,123
2016-07-23,9501,1,0,42
2016-07-24,9502,1,0,15
2016-07-25,9500,1,1,6
2016-07-26,9504,4,0,147
2016-07-27,9506,4,1,76
2016-07-28,9511,5,0,44
2016-07-29,9512,2,1,42
2016-07-30,9513,2,1,13
2016-07-31,9512,1,1,5
2016-08-01,9514,4,0,72
2016-08-02,9515,3,2,39
2016-08-03,9514,1,2,8
2016-08-04,9520,7,1,139
2016-08-05,9521,2,1,191
2016-08-06,9521,1,1,51
2016-08-07,9521,0,0,6
2016-08-08,9518,0,3,27
2016-08-09,9517,1,2,12
2016-08-10,9516,2,3,8
2016-08-11,9515,1,1,118
2016-08-12,9518,7,4,136
2016-08-13,9516,1,3,28
2016-08-14,9516,2,2,8
2016-08-15,9514,1,2,133
2016-08-16,9513,2,3,155
2016-08-17,9516,3,0,62
2016-08-18,9521,5,0,32
2016-08-19,9519,0,2,19
2016-08-20,9521,2,0,6
2016-08-21,9535,15,0,24
2016-08-22,9541,8,2,336
2016-08-23,9544,4,0,103
2016-08-24,9543,1,3,16
2016-08-25,9542,0,1,44
2016-08-26,9544,4,2,107
2016-08-27,9542,0,2,25
2016-08-28,9541,0,1,5
2016-08-29,9542,2,1,146
2016-08-30,9543,4,2,151
2016-08-31,9544,0,0,33
2016-09-01,9545,4,1,28
2016-09-02,9545,1,1,11
2016-09-03,9546,1,0,8
2016-09-04,9546,1,1,5
2016-09-05,9546,1,1,93
2016-09-06,9546,4,4,296
2016-09-07,9548,3,1,246
2016-09-08,9551,4,1,52
2016-09-09,9552,1,0,17
2016-09-10,9552,0,0,49
2016-09-11,9552,2,1,31
2016-09-12,9554,2,0,62
2016-09-13,9554,2,2,62
2016-09-14,9553,0,0,24
2016-09-15,9551,1,2,9
2016-09-16,9548,1,3,111
2016-09-17,9548,0,0,42
2016-09-18,9547,1,0,5
2016-09-19,9547,3,2,10
2016-09-20,9548,3,1,13
2016-09-21,9546,0,2,15
2016-09-22,9547,3,2,17
2016-09-23,9553,7,0,147
2016-09-24,9555,2,0,25
2016-09-25,9555,1,1,7
2016-09-26,9559,7,3,213
2016-09-27,9559,3,1,43
2016-09-28,9561,4,1,43
2016-09-29,9560,0,1,35
2016-09-30,9561,2,0,40
2016-10-01,9562,2,1,12
2016-10-02,9563,2,1,5
2016-10-03,9569,6,0,16
2016-10-04,9571,2,0,24
2016-10-05,9574,2,0,41
2016-10-06,9576,3,1,26
2016-10-07,9574,0,2,14
2016-10-08,9573,0,1,6
2016-10-09,9573,2,2,5
2016-10-10,9575,2,0,7
2016-10-11,9576,1,0,4
2016-10-12,9577,3,2,25
2016-10-13,9578,2,1,32
2016-10-14,9576,2,4,25
2016-10-15,9577,1,0,5
2016-10-16,9578,3,2,6
2016-10-17,9577,0,0,5
2016-10-18,9582,5,0,41
2016-10-19,9585,3,0,9
2016-10-20,9585,0,0,33
2016-10-21,9586,1,0,68
2016-10-22,9586,2,0,16
2016-10-23,9586,0,0,5
2016-10-24,9587,1,0,4
2016-10-25,9588,4,3,43
2016-10-26,9587,3,3,40
2016-10-27,9588,4,3,37
2016-10-28,9586,0,0,8
2016-10-29,9587,1,0,1
2016-10-30,9590,4,0,5
2016-10-31,9590,1,1,29
2016-11-01,9591,2,1,18
2016-11-02,9591,0,0,21
2016-11-03,9591,3,4,27
2016-11-04,9592,2,0,14
2016-11-05,9592,0,0,3
2016-11-06,9591,2,3,5
2016-11-07,9594,3,0,39
2016-11-08,9598,4,0,13
2016-11-09,9599,3,2,30
2016-11-10,9598,4,3,12
2016-11-11,9597,0,1,3
2016-11-12,9595,0,2,3
2016-11-13,9595,1,1,3
2016-11-14,9593,0,2,72
2016-11-15,9594,2,1,116
2016-11-16,9592,0,2,117
2016-11-17,9589,1,3,95
2016-11-18,9590,3,3,12
2016-11-19,9590,1,1,5
2016-11-20,9588,1,3,3
2016-11-21,9588,2,2,52
2016-11-22,9588,1,0,66
2016-11-23,9589,2,2,85
2016-11-24,9592,4,1,67
2016-11-25,9594,3,1,31
2016-11-26,9592,1,3,8
2016-11-27,9591,0,1,6
2016-11-28,9592,3,1,29
2016-11-29,9593,1,0,22
2016-11-30,9594,2,1,134
2016-12-01,9598,5,1,164
2016-12-02,9604,7,1,138
2016-12-03,9605,0,0,53
2016-12-04,9608,5,1,17
2016-12-05,9609,1,0,67
2016-12-06,9611,4,2,95
2016-12-07,9612,2,1,48
2016-12-08,9613,1,1,23
2016-12-09,9613,3,1,12
2016-12-10,9615,3,0,6
2016-12-11,9614,0,1,4
2016-12-12,9613,2,3,62
2016-12-13,9614,2,2,66
2016-12-14,9619,7,1,66
2016-12-15,9619,1,1,48
2016-12-16,9623,4,1,29
2016-12-17,9624,1,0,13
2016-12-18,9624,2,1,6
2016-12-19,9625,2,2,8
2016-12-20,9627,4,2,11
2016-12-21,9625,1,3,50
2016-12-22,9627,4,2,144
2016-12-23,9628,2,1,26
2016-12-24,9629,2,1,54
2016-12-25,9631,3,1,19
2016-12-26,9630,0,1,2
2016-12-27,9632,2,0,75
2016-12-28,9634,2,0,22
2016-12-29,9636,2,0,49
2016-12-30,9637,3,2,36
2016-12-31,9639,2,1,59
2017-01-01,9640,3,2,14
2017-01-02,9639,1,2,57
2017-01-03,9637,2,4,56
2017-01-04,9639,4,2,88
2017-01-05,9644,5,0,118
2017-01-06,9648,4,0,66
2017-01-07,9652,7,3,26
2017-01-08,9650,2,4,10
2017-01-09,9651,5,4,139
2017-01-10,9652,2,1,62
2017-01-11,9653,1,0,15
2017-01-12,9655,4,2,90
2017-01-13,9656,1,0,127
2017-01-14,9659,3,0,20
2017-01-15,9658,0,1,9
2017-01-16,9663,6,1,248
2017-01-17,9666,4,1,150
2017-01-18,9672,6,0,120
2017-01-19,9672,4,4,92
2017-01-20,9674,2,0,18
2017-01-21,9675,3,2,8
2017-01-22,9676,1,1,6
2017-01-23,9675,1,2,11
2017-01-24,9675,1,1,7
2017-01-25,9675,3,2,8
2017-01-26,9678,4,0,7
2017-01-27,9675,1,4,21
2017-01-28,9678,3,0,7
2017-01-29,9678,1,1,6
2017-01-30,9683,6,1,164
2017-01-31,9681,0,2,24
2017-02-01,9679,2,4,168
2017-02-02,9680,2,1,56
2017-02-03,9682,2,0,14
2017-02-04,9684,3,1,4
2017-02-05,9685,1,0,52
2017-02-06,9685,1,1,39
2017-02-07,9684,0,1,40
2017-02-08,9681,1,2,11
2017-02-09,9686,3,0,9
2017-02-10,9685,1,1,3
2017-02-11,9687,3,0,50
2017-02-12,9685,1,2,87
2017-02-13,9690,5,1,106
2017-02-14,9688,0,1,65
2017-02-15,9690,0,0,18
2017-02-16,9693,4,1,15
2017-02-17,9697,4,0,12
2017-02-18,9694,1,4,3
2017-02-19,9696,4,2,5
2017-02-20,9698,2,0,6
2017-02-21,9707,10,1,153
2017-02-22,9708,2,1,54
2017-02-23,9708,2,2,109
2017-02-24,9709,3,2,70
2017-02-25,9709,1,0,28
2017-02-26,9707,0,3,11
2017-02-27,9706,0,1,12
2017-02-28,9704,1,3,4
2017-03-01,9703,0,1,22
2017-03-02,9705,2,0,12
2017-03-03,9705,2,2,10
2017-03-04,9705,1,1,7
2017-03-05,9705,2,1,5
2017-03-06,9708,3,1,208
2017-03-07,9709,3,1,28
2017-03-08,9708,1,2,31
2017-03-09,9708,0,0,6
2017-03-10,9707,0,1,3
2017-03-11,9707,1,1,4
2017-03-12,9707,1,0,3
2017-03-13,9709,2,1,4
2017-03-14,9709,1,1,5
2017-03-15,9712,4,0,100
2017-03-16,9712,2,2,19
2017-03-17,9714,2,0,142
2017-03-18,9715,1,0,71
2017-03-19,9714,3,4,11
2017-03-20,9712,0,2,12
2017-03-21,9712,2,1,5
2017-03-22,9712,1,1,18
2017-03-23,9711,2,2,5
2017-03-24,9712,1,0,27
2017-03-25,9710,0,2,5
2017-03-26,9713,3,0,7
2017-03-27,9715,2,0,6
2017-03-28,9718,3,0,46
2017-03-29,9718,2,2,19
2017-03-30,9718,0,0,2
2017-03-31,9717,1,2,3
