Campaign;Clicks;Costs (in dollars);Costs (indollars);Month
Fundraising;0;0.0;;01.08.2015
Aktionen_BMM;0;0.0;;01.08.2015
Aktionen_BMM;0;0.0;;01.12.2015
Aktionen_BMM;0;0.0;;01.01.2015
Ehrenamt_BMM;0;0.0;;01.04.2015
Ehrenamt_BMM;0;0.0;;01.08.2015
Aktionen_EX;0;0.0;;01.05.2015
Aktionen_EX;0;0.0;;01.10.2015
Kinder_EX;0;0.0;;01.10.2015
Eigenname_BMM;0;0.0;;01.06.2015
Lebensmittel_BMM;0;0.0;;01.03.2015
Lebensmittel_BMM;0;0.0;;01.12.2015
Öffentlichkeit;1208;539.6;;01.02.2015
Kinder_EX;0;0.0;;01.06.2015
Lebensmittel_BMM;0;0.0;;01.02.2015
Lebensmittel_BMM;0;0.0;;01.11.2015
Spenden_BMM;0;0.0;;01.10.2015
Spenden_BMM;0;0.0;;01.11.2015
Ehrenamt_EX;0;0.0;;01.04.2015
Ehrenamt_EX;0;0.0;;01.05.2015
Kinder_BMM;0;0.0;;01.03.2015
Kinder_BMM;0;0.0;;01.05.2015
Kinder_BMM;0;0.0;;01.09.2015
Kinder_BMM;0;0.0;;01.11.2015
Spenden_BMM;0;0.0;;01.04.2015
Eigenname_EX;0;0.0;;01.03.2015
Ehrenamt_EX;0;0.0;;01.01.2015
Ehrenamt_EX;0;0.0;;01.03.2015
Spenden_EX;0;0.0;;01.12.2015
Lebensmittel_EX;0;0.0;;01.06.2015
Lebensmittel_EX;0;0.0;;01.12.2015
Fundraising;0;0.0;;01.09.2015
Fundraising;0;0.0;;01.10.2015
Fundraising;0;0.0;;01.12.2015
Kinder_EX;0;;0.0;01.05.2016
Kinder_EX;0;;0.0;01.10.2016
Eigenname_BMM;0;;0.0;01.02.2016
Eigenname_BMM;0;;0.0;01.07.2016
Eigenname_BMM;0;;0.0;01.10.2016
Lebensmittel_BMM;0;;0.0;01.01.2016
Lebensmittel_BMM;0;;0.0;01.09.2016
Lebensmittel_BMM;0;;0.0;01.10.2016
Kinder_EX;0;;0.0;01.03.2016
Aktionen_BMM;0;;0.0;01.06.2016
Aktionen_BMM;0;;0.0;01.09.2016
Ehrenamt_BMM;0;;0.0;01.05.2016
Ehrenamt_BMM;0;;0.0;01.06.2016
Ehrenamt_BMM;0;;0.0;01.07.2016
Ehrenamt_BMM;0;;0.0;01.09.2016
Aktionen_BMM;0;;0.0;01.10.2016
Ehrenamt_BMM;0;;0.0;01.02.2016
Fundraising;0;;0.0;01.07.2016
Fundraising;0;;0.0;01.01.2016
Fundraising;0;;0.0;01.09.2016
Eigenname_EX;0;;0.0;01.01.2016
Eigenname_EX;0;;0.0;01.06.2016
Eigenname_EX;0;;0.0;01.11.2016
Lebensmittel_EX;0;;0.0;01.03.2016
Lebensmittel_EX;0;;0.0;01.04.2016
Lebensmittel_EX;0;;0.0;01.07.2016
Ehrenamt_EX;0;;0.0;01.03.2016
Ehrenamt_EX;0;;0.0;01.11.2016
Spenden_EX;0;;0.0;01.06.2016
Spenden_EX;0;;0.0;01.10.2016
Spenden_BMM;0;;0.0;01.01.2016
Spenden_BMM;0;;0.0;01.02.2016
Spenden_BMM;0;;0.0;01.04.2016
Kinder_BMM;0;;0.0;01.05.2016
Kinder_BMM;0;;0.0;01.06.2016
Kinder_BMM;0;;0.0;01.08.2016
Eigenname_EX;0;;0.0;01.05.2016
Eigenname_EX;0;;0.0;01.07.2016
Eigenname_EX;0;;0.0;01.09.2016
Eigenname_EX;0;;0.0;01.10.2016
Ehrenamt_EX;0;;0.0;01.01.2016
Ehrenamt_EX;0;;0.0;01.09.2016
Ehrenamt_EX;0;;0.0;01.08.2016
Spenden_EX;0;;0.0;01.02.2016
Spenden_EX;0;;0.0;01.12.2016
Spenden_BMM;0;;0.0;01.07.2016
Kinder_BMM;0;;0.0;01.07.2016
Eigenname_BMM;0;;0.0;01.09.2016
Eigenname_BMM;0;;0.0;01.12.2016
Eigenname_BMM;0;;0.0;01.08.2016
Eigenname_BMM;0;;0.0;01.03.2016
Eigenname_BMM;0;;0.0;01.06.2016
Lebensmittel_BMM;0;;0.0;01.06.2016
Lebensmittel_BMM;0;;0.0;01.11.2016
Lebensmittel_BMM;0;;0.0;01.12.2016
Öffentlichkeit;1059;;537.4;01.01.2016
Öffentlichkeit;1027;;541.5;01.09.2016
Öffentlichkeit;1034;;534.63;01.10.2016
Öffentlichkeit;852;;440.12;01.08.2016
Aktionen_BMM;0;;0.0;01.01.2016
Aktionen_BMM;0;;0.0;01.05.2016
Aktionen_EX;0;;0.0;01.03.2016
Aktionen_EX;0;;0.0;01.04.2016
Aktionen_EX;0;;0.0;01.06.2016
Aktionen_EX;0;;0.0;01.07.2016
Aktionen_EX;0;;0.0;01.10.2016
Aktionen_EX;0;;0.0;01.08.2016
Aktionen_BMM;0;;0.0;01.02.2016
Aktionen_BMM;0;;0.0;01.11.2016
Ehrenamt_BMM;0;;0.0;01.11.2016
Fundraising;0;;0.0;01.02.2016
Lebensmittel_EX;0;;0.0;01.10.2016
Lebensmittel_EX;0;;0.0;01.11.2016
Spenden_EX;0;;0.0;01.08.2016
Spenden_BMM;0;;0.0;01.03.2016
Spenden_BMM;0;;0.0;01.05.2016
Spenden_BMM;0;;0.0;01.11.2016
Kinder_BMM;0;;0.0;01.02.2016
Kinder_BMM;0;;0.0;01.03.2016
Eigenname_EX;0;;0.0;01.08.2016
Spenden_EX;0;;0.0;01.05.2016
Spenden_EX;0;;0.0;01.09.2016
